,hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code,b
6554,,,,,,,ZTF19aawsday,650.94,r,18.4027,-17.22,>31.087,>14.01,17.077,-21.80,0.62,0.143,AT2019hbr,,,,,0.02915,2.04075,27.003694444444445,SNIc,Ib/c,1,-34.877692266781494
6701,,,,,,,ZTF19acllsbq,812.67,r,18.7165,-19.01,67.251,21.32,45.931,-16.55,0.46,0.08,AT2019umt,,,,,0.0778,6.594041666666667,-12.076166666666666,SNIc,Ib/c,1,-73.8407482958709
6455,,,,,,,ZTF19aadnwvc,510.04,g,18.2339,-19.50,24.009,7.919,16.09,-18.54,0.88,0.087,AT2019ye,,,,,0.077,209.51425,20.63625,SNIa,Ia,0,73.46526488785115
6736,,,,,,,ZTF19adbsblp,850.63,r,18.9307,-17.54,32.827,8.177,24.65,-20.64,1.12,0.292,AT2019zri,,,,,0.0406,53.00870833333333,1.1764166666666669,SNII,II,2,-42.12674982853335
6751,,,,,,,ZTF20aaertpj,873.06,r,18.4695,-17.02,22.666,14.065,8.601,-19.72,0.63,0.027,AT2020pv,,,,,0.02875,216.9668333333333,33.56933333333334,SNIb,Ib/c,1,68.28112957658865
6862,,,,,,,ZTF20abusrwm,1095.96,r,18.691,-17.10,27.162,9.737,17.425,-16.20,0.78,0.181,AT2020rta,,,,,0.031,44.39470833333333,-5.077416666666666,SNIc,Ib/c,1,-52.74340196738417
6851,,,,,,,ZTF20aborzxc,1109.9,r,18.3411,-16.51,25.728,11.186,14.542,-19.74,0.81,0.211,AT2020szx,,,,,0.02,21.6275,10.72038888888889,SNIc,Ib/c,1,-51.20706111240821
6919,,,,,,,ZTF20acnwjwp,1157.66,g,18.5388,-19.44,24.609,8.623,15.986,-21.51,0.96,0.213,AT2020yla,,,,,0.08,327.4374583333333,22.67902777777778,SNIa,Ia,0,-23.612681619745302
6920,,,,,,,ZTF20acnznms,1200.95,g,18.5241,-21.33,101.801,43.867,57.934,-21.33,0.63,0.048,AT2020yue,,,,,0.204,165.001375,21.112722222222224,SLSN-II,II,2,63.93214468720627
7049,,,,,,,ZTF21aarmuxl,1319.71,r,18.7582,-17.85,22.311,15.023,7.288,-19.98,0.94,0.04,AT2021hpp,,,,,0.0475,141.24404166666667,42.80905555555555,SNIb/c,Ib/c,1,45.666650783852255
7220,,,,,,,ZTF22aafpbbu,1694.88,g,18.69,-19.40,>28.429,>12,16.429,-15.83,0.97,0.194,AT2022hec,,,,,0.08509,235.49516666666668,2.9301388888888886,SNIa,Ia,0,42.6248659477752
7439,,,,,,,ZTF23aadwjtg,2042.8,r,17.599,-18.86,>22.287,>11.07,11.217,-22.43,0.91,0.055,AT2023dyl,,,,,0.04416,150.74437500000002,2.343388888888889,SNIa,Ia,0,42.709748953307745
7013,,,,,,,ZTF21aantxma,1291.78,g,18.3343,-19.12,26.814,16.016,10.798,-22.15,1.02,0.02,AT2023xu,,,,,0.07023,160.47695833333336,58.25005555555556,SNIa,Ia,0,51.55838800695289
7193,,,,,,,ZTF21acipofv,1518.95,g,18.6062,-18.56,22.505,11.455,11.05,-22.18,1.15,0.122,SN2017baq,,,,,0.05814,134.69850000000002,1.8429166666666668,SNIa,Ia,0,28.94178648265168
6764,,,,,,,ZTF20aakyqlh,2056.78,g,18.2972,-19.20,>21.03,>10.02,>11.01,-21.97,1.02,0.029,SN2017bde,,,,,0.07138,187.2815833333333,36.456694444444445,SNIa,Ia,0,79.54127553700337
6669,,,,,,,ZTF19acdgwhq,785.79,r,17.7568,-17.95,23.202,11.519,11.683,-20.44,0.75,0.294,SN2017gcd,,,,,0.02859,44.035250000000005,15.213055555555554,SNIa,Ia,0,-37.960681902753414
4,,0.0229,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aabssth,,,,,,,,,,,SN2018aex,,,,,0.023,165.18908333333334,22.28748888888889,SNII,II,2,64.45574624715385
5,,0.0767,ZTF,ZTF,ZTF,ZTF,ZTF18aabsyqp,,,,,,,,,,,SN2018aey,,,,,0.077,162.8185,22.47761111111111,SNIa,Ia,0,62.404011232954225
7,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaibibr,,,,,,,,,,,SN2018baw,,,,,0.062,261.64162500000003,34.373555555555555,SNIa,Ia,0,31.553548943240745
6326,,,,,,,ZTF18aapictz,254.69,r,18.1307,-19.90,33.102,15.403,17.699,-17.26,0.33,0.061,SN2018bdg,,,,,0.09,179.90416666666667,27.530555555555555,SNIa-91T,Ia,0,78.48893658874252
6327,,,,,,,ZTF18aapifti,276.7,r,18.5164,-16.41,>72.189,42.219,>29.97,-22.96,1.05,0.1,SN2018bdv,,,,,0.0216,177.017625,30.36005555555556,SNIIP,II,2,75.7526634715715
6334,,,,,,,ZTF18aarbgdn,245.65,r,17.2666,-19.22,>16.002,3.922,>12.08,-22.20,0.97,0.096,SN2018bfh,,,,,0.044,155.67120833333334,15.939083333333334,SNIa,Ia,0,53.80131018662845
17,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aajpjdi,245.71,r,18.4652,-19.13,39.856,18.904,20.952,-20.07,0.53,0.04,SN2018bfx,,,,,0.0746,199.52761666666663,27.873394444444443,SNIa,Ia,0,84.03936231877498
20,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aakrnvd,,,,,,,,,,,SN2018bga,,,,,0.0453,224.084325,21.062402777777777,SNIIn,II,2,60.937517491286556
6330,,,,,,,ZTF18aaqkoyr,266.75,r,17.9096,-17.20,39.597,23.208,16.389,-20.44,0.66,0.053,SN2018bge,,,,,0.02389,166.06666666666666,50.03061111111112,SNII,II,2,59.29324474944253
22,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaqehoc,,,,,,,,,,,SN2018bgq,,,,,0.0622,228.18562916666667,40.109925,SNIa,Ia,0,58.115266954533155
6333,,,,,,,ZTF18aaqskoy,255.92,g,18.2535,-19.68,25.604,11.688,13.916,-15.75,1.05,0.065,SN2018bhv,,,,,0.085,255.90775,36.42919444444444,SNIa,Ia,0,36.53621277997661
6335,,,,,,,ZTF18aasdted,266.82,r,15.7176,-18.82,25.384,11.255,14.129,-18.76,0.50,0.082,SN2018big,,,,,0.01815,261.413125,59.44675,SNIa,Ia,0,33.923835844803385
29,,,ZTF,ZTF,ePESSTO,ZTF,ZTF18aarcypa,257.71,r,18.0875,-17.68,>23.601,11.631,>11.97,-21.23,1.07,0.074,SN2018bil,,,,,0.032,167.459325,28.971380555555555,SNIa,Ia,0,67.55058041650206
6339,,,,,,,ZTF18aaumeys,266.7,g,16.6581,-19.43,24.583,9.504,15.079,-18.60,0.49,0.026,SN2018bpd,,,,,0.03754,214.31291666666667,59.27636111111111,SNIa-91T,Ia,0,54.60438081852861
40,,,ZTF,ZTF,ZTF,ZTF,ZTF18aatzygk,,,,,,,,,,,SN2018bsu,,,,,0.08,251.38424166666664,59.918625,SNIa,Ia,0,38.86484402237947
6338,,,,,,,ZTF18aauizcr,269.68,r,16.8455,-19.02,20.377,10.931,9.446,-22.09,1.08,0.05,SN2018btb,,,,,0.03384,173.61612499999998,46.36261111111112,SNIa,Ia,0,65.48648501847238
6336,,,,,,,ZTF18aasxvsg,266.77,r,17.9771,-17.19,15.416,10.27,5.146,-18.89,0.62,0.024,SN2018bti,,,,,0.0248,217.129,37.06783333333334,SNII,II,2,67.25422299545471
6328,,,,,,,ZTF18aaqcqvr,257.78,r,18.2745,-19.22,26.171,11.871,14.3,-19.91,0.70,0.089,SN2018bvg,,,,,0.07,193.85275,45.578388888888895,SNIa,Ia,0,71.53292498846591
25,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaqjovh,248.74,r,18.3077,-18.58,25.566,8.684,16.882,-19.99,0.62,0.044,SN2018bvw,,,,,0.054,178.18175416666668,25.67503333333333,SNIc-BL,Ib/c,1,76.78081491622416
41,,,ZTF,ZTF,ZTF,ZTF,ZTF18aauenwu,,,,,,,,,,,SN2018bwa,,,,,0.0475,289.8946583333333,44.03395,SNIIn,II,2,13.802792267549144
44,,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aauworo,,,,,,,,,,,SN2018bwb,,,,,0.04981,239.671,21.12048055555556,SNIa,Ia,0,47.096058935319455
45,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aauxzle,,,,,,,,,,,SN2018bxl,,,,,0.04,215.64933333333332,74.83953055555556,SNII,II,2,40.89662736288666
6341,,,,,,,ZTF18aavrwhu,276.75,g,17.747,-19.45,27.056,11.148,15.908,-20.86,0.58,0.035,SN2018bxo,,,,,0.062,206.73520833333333,43.137277777777776,SNIa,Ia,0,70.4357210764315
47,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aavnvmp,,,,,,,,,,,SN2018bxr,,,,,0.064,204.697,30.95958333333333,SNIa,Ia,0,78.97219633370368
31,,,ZTF,ZTF,ZTF,ZTF,ZTF18aarxzmv,,,,,,,,,,,SN2018cbe,,,,,0.07,190.39966666666663,35.57699166666667,SNIa,Ia,0,81.29501577375514
