hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,b,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaaoktp,,,,,,,,,,,,SN2018mg,,,,,0.11,164.22325,79.27847222222222,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aaaoaeq,,,,,,,,,,,,SN2018mf,,,,,0.107,155.54074166666666,10.440025,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaayemw,,,,,,,,,,,,SN2018yt,,,,,0.052,134.89829166666667,45.61163888888889,SNII,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaewugy,,,,,,,,,,,,SN2018bbk,,,,,0.038,118.11229166666668,16.494027777777777,SNII,II,2
,0.0229,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aabssth,,,,,,,,,,,,SN2018aex,,,,,0.023,165.18908333333334,22.28748888888889,SNII,II,2
,0.0767,ZTF,ZTF,ZTF,ZTF,ZTF18aabsyqp,,,,,,,,,,,,SN2018aey,,,,,0.077,162.8185,22.47761111111111,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aagrgao,,,,,,,,,,,,SN2018bav,,,,,0.114,251.85637500000004,25.685083333333335,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaibibr,,,,,,,,,,,,SN2018baw,,,,,0.062,261.64162500000003,34.373555555555555,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aaguhgb,,,,,,,,,,,,SN2018bat,,,,,0.124,219.45416666666665,45.54924722222222,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aahfeiy,,,,,,,,,,,,SN2018loy,,,,,0.07124,154.31485,43.523352777777774,SNIa,Ia,0
