
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,b,A_V
ZTF17aaaeqms,AT2023jkf,01:19:13.43,+31:46:26.1,2102.97,r,17.5839,-,18.001,12.004,5.997,-,-,-,-,-30.72679077,0.205
ZTF18aaaqgyc,AT2019gtw,12:59:04.31,+19:07:06.2,628.83,r,18.9934,-,25.21,13.049,12.161,-,-,-,-,81.80052276,0.09
ZTF18aabdjmb,AT2018lve,11:52:22.46,+43:57:32.1,260.70,r,18.8799,-,32.562,23.209,9.353,-,-,-,-,69.39159119,0.062
ZTF18aaclshi,AT2021abbb,08:08:56.14,+38:53:08.6,1503.87,r,18.0491,-,17.77,8.584,9.186,-,-,-,-,31.06910218,0.132
ZTF18aacopwm,AT2018gwm,07:21:17.34,+49:48:28.8,390.01,r,18.8303,-,>14.761,6.761,>8,-,-,-,-,25.0190318,0.191
ZTF18aacornn,AT2023glp,09:04:36.82,+38:19:41.3,2059.67,g,18.7741,-,>22.081,3.981,>18.1,-,-,-,-,41.76183408,0.071
ZTF18aaczmob,-,07:02:04.68,+49:03:33.4,2043.68,r,18.5957,-,>20.036,>12.02,8.016,-,-,-,-,21.80888188,0.21
ZTF18aadaexi,AT2021dpr,08:20:57.97,+36:18:44.3,1278.68,r,18.5896,-,19.247,9.507,9.74,-,-,-,-,32.8953121,0.159
ZTF18aadvifa,AT2019oyr,07:19:27.18,+41:46:02.3,726.01,r,18.6488,-,>19.903,>12.01,7.893,-,-,-,-,22.62362362,0.218
ZTF18aaenucd,AT2019aqr,07:11:08.36,+34:22:57.8,522.68,g,18.5211,-,39.715,5.881,33.834,-,-,-,-,18.69714282,0.175
ZTF18aaewdgq,AT2021acvv,07:42:57.66,+22:02:47.4,1526.99,r,18.9933,-,>21.566,16.656,>4.91,-,-,-,-,20.79657889,0.135
ZTF18aaexyql,AT2019tpu,08:27:10.67,+28:44:03.7,792.00,r,18.2793,-,23.18,8.176,15.004,-,-,-,-,32.39959578,0.106
ZTF18aafcpdd,AT2018jvg,07:17:48.79,+24:47:36.0,464.79,r,18.9865,-,19.422,4.321,15.101,-,-,-,-,16.49881497,0.163
ZTF18aafctgp,AT2024chz,08:40:15.53,+23:22:29.6,2352.76,g,18.9009,-,>25.96,>0,>25.96,-,-,-,-,33.66949572,0.096
ZTF18aahsuyl,AT2021jqj,12:18:03.71,+29:56:37.5,1329.82,g,18.7542,-,22.429,7.494,14.935,-,-,-,-,82.15024493,0.056
ZTF18aakbuks,AT2021dko,11:45:29.07,+48:24:17.7,1273.95,r,18.8308,-,25.349,8.501,16.848,-,-,-,-,65.16801449,0.073
ZTF18aakeayh,AT2023gkh,13:31:55.66,+53:09:08.0,2064.72,g,18.6799,-,>22.228,>7.94,14.288,-,-,-,-,62.91144258,0.037
ZTF18aakibjv,AT2022ubu,16:30:34.58,+28:48:02.9,1840.64,g,18.5403,-,>17.01,>0,>17.01,-,-,-,-,42.02131333,0.078
ZTF18aakogek,AT2018mel,11:28:30.71,+58:33:48.7,2043.86,r,16.3945,-,>22.604,>7.1,15.504,-,-,-,-,55.40392703,0.046
ZTF18aaqwbsq,AT2018mbb,14:57:54.49,+47:34:10.4,1689.81,g,18.9179,-,>17.996,>6.97,11.026,-,-,-,-,57.98413005,0.076
ZTF18aarbixk,AT2018bik,09:59:01.09,+29:21:31.7,245.66,r,18.1267,-,34.052,6.134,27.918,-,-,-,-,52.17510228,0.055
ZTF18aarcchg,AT2018boa,11:43:52.02,+22:29:58.3,266.73,r,18.1347,-,>45.577,15.577,>30,-,-,-,-,73.99949411,0.06
ZTF18aartjod,AT2020mny,15:28:08.96,+08:00:43.6,1020.75,r,18.9549,-,>20.961,8.961,>12,-,-,-,-,48.30797342,0.11
ZTF18aarzojc,AT2022hdy,12:27:00.91,+51:56:16.0,1687.84,r,18.698,-,24.093,8.091,16.002,-,-,-,-,64.76893444,0.066
ZTF18aaszfhi,AT2020hgu,14:37:29.98,+21:37:23.4,965.83,r,18.8073,-,31.596,19.112,12.484,-,-,-,-,65.27989844,0.077
ZTF18aatjmcx,AT2019tqm,11:55:21.19,+56:43:26.8,792.99,r,18.8962,-,48.319,10.749,37.57,-,-,-,-,58.75783111,0.044
ZTF18aatquwd,AT2023eru,16:37:46.76,+46:58:26.8,2042.95,r,18.8179,-,>19.542,>0.04,>19.502,-,-,-,-,41.89472734,0.068
ZTF18aauuqrh,AT2018cdo,12:25:26.24,+11:46:00.3,267.79,r,18.7509,-,>39.604,12.664,>26.94,-,-,-,-,73.47031561,0.08
ZTF18aawjhmu,AT2021fek,16:03:08.24,+54:58:34.3,1296.89,r,18.7901,-,21.792,10.728,11.064,-,-,-,-,45.69968138,0.025
ZTF18aawxnkz,AT2022zwe,11:31:52.36,+55:12:08.2,1899.93,g,18.5339,-,>32.273,>6,26.273,-,-,-,-,58.43431673,0.033
ZTF18aawznqy,AT2019aajh,16:30:16.25,+58:42:46.9,1814.74,r,17.9947,-,67.52,16.591,50.929,-,-,-,-,41.04893285,0.027
ZTF18aayjflv,AT2018hvt,12:05:21.39,+53:46:38.7,433.02,r,18.5345,-,>26.398,>9.04,17.358,-,-,-,-,62.0279262,0.046
ZTF18aazjked,AT2021eny,15:22:00.89,+28:53:57.8,1290.89,r,18.9879,-,33.484,18.49,14.994,-,-,-,-,56.85782079,0.068
ZTF18abafxmt,AT2018cnk,13:34:03.46,+61:43:40.5,288.76,r,18.8494,-,18.639,6.013,12.626,-,-,-,-,54.67378476,0.049
ZTF18abalzzd,AT2018cyj,14:27:15.07,+30:21:55.3,299.85,r,18.9514,-,24.276,11.956,12.32,-,-,-,-,68.79156203,0.053
ZTF18abdqwzs,SN2021ddc,12:20:46.17,+27:53:05.3,1263.86,g,18.5758,-,18.568,4.011,14.557,-,-,-18.07,0.08,83.15885396,0.054
ZTF18abfawng,AT2018mek,17:27:47.07,+64:50:50.6,2042.93,r,18.6844,-,>19.909,>10.12,9.789,-,-,-,-,33.21460065,0.084
ZTF18abfcyrs,AT2020yao,17:56:57.89,+71:30:08.1,1151.65,g,18.8278,-,>18.96,11.95,>7.01,-,-,-,-,29.92801539,0.116
ZTF18abfekzy,AT2018lqw,21:46:42.57,+26:29:28.9,814.64,r,18.8743,-,>33.602,14.672,>18.93,-,-,-,-,-20.37117799,0.237
ZTF18abhboqu,AT2020hyd,13:14:31.18,+69:50:23.3,974.80,r,18.8401,-,24.802,15.827,8.975,-,-,-,-,47.1574391,0.04
ZTF18abhehkn,AT2018ecn,18:01:03.92,+19:35:15.6,327.77,r,18.1321,-,22.022,9.109,12.913,-,-,-,-,19.61402662,0.247
ZTF18abjjgiz,AT2019eeh,12:48:43.14,+79:28:37.1,609.71,g,18.7757,-,>16.941,8.941,>8,-,-,-,-,37.6506114,0.305
ZTF18abjjgwy,AT2022adcx,16:01:15.04,+74:42:18.6,1936.00,g,18.4829,-,>33.405,>5,28.405,-,-,-,-,36.76844381,0.073
ZTF18abqqdrs,AT2019uyq,01:23:40.44,+11:18:14.5,812.71,r,18.9966,-,>35.384,16.484,>18.9,-,-,-,-,-50.77996153,0.142
ZTF18abqsfrc,AT2020plv,01:24:48.86,-04:20:59.9,1051.92,r,18.9986,-,>32.579,>12.94,19.639,-,-,-,-,-65.86939319,0.104
ZTF18abqvpaz,AT2019qcq,01:38:07.89,-01:55:17.6,739.88,r,18.8202,-,19.227,2.561,16.666,-,-,-,-,-62.42173173,0.091
ZTF18abrbaow,AT2019wnt,00:21:20.62,+22:29:38.1,835.63,g,18.7321,-,29.284,19.435,9.849,-,-,-,-,-39.8473651,0.2
ZTF18abxozzs,AT2018ltu,00:56:55.96,-00:59:47.7,1046.94,r,18.8977,-,>13.824,>0,>13.824,-,-,-,-,-63.83503377,0.108
ZTF18abxufxf,AT2018mmi,03:51:34.04,-12:22:49.8,2341.63,g,18.547,-,>18.87,>1.87,>17,-,-,-,-,-45.40602584,0.118
ZTF18abxzitr,AT2020upp,23:33:13.13,-17:50:39.5,1128.79,g,17.9745,-,26.125,8.342,17.783,-,-,-,-,-69.72454542,0.073
ZTF18abykqma,AT2018gwi,07:24:57.84,+40:13:50.4,386.95,r,18.3268,-,>15.132,4.082,>11.05,-,-,-,-,23.17539552,0.147
ZTF18acasiuz,AT2018hfz,22:01:39.25,+45:11:24.9,1364.95,r,18.7574,-,>14.544,>2.04,12.504,-,-,-,-,-8.00947079,0.785
ZTF18acejejm,AT2020acki,01:25:05.38,-14:21:19.9,1204.73,g,18.7826,-,>39.595,10.675,>28.92,-,-,-,-,-75.01124533,0.055
ZTF18acepxrl,AT2023lw,11:38:18.88,+53:40:47.3,1968.89,r,18.8792,-,25.47,9.812,15.658,-,-,-,-,60.21886636,0.023
ZTF18aceyycq,AT2018iur,12:30:03.70,+71:12:03.9,443.99,g,18.7398,-,>16.041,9.041,>7,-,-,-,-,45.82468268,0.041
ZTF18achqdch,AT2018iti,03:44:23.56,-18:40:09.5,443.86,r,18.5904,-,18.002,7.432,10.57,-,-,-,-,-49.48268997,0.227
ZTF18aciijnz,AT2018mkr,21:28:07.58,-01:35:42.1,2237.67,r,18.1061,-,15.707,8.263,7.444,-,-,-,-,-35.07417368,0.162
ZTF18aclkdrz,AT2019tog,08:56:00.76,+25:05:23.1,785.04,r,18.2431,-,>19.548,5.548,>14,-,-,-,-,37.60505572,0.094
ZTF18acllewz,AT2018jtc,07:34:55.46,+51:20:20.5,434.95,r,18.8519,-,>32.792,2.942,>29.85,-,-,-,-,27.44662129,0.152
ZTF18acnbejq,AT2018itq,11:07:00.16,+53:34:28.8,447.97,r,18.9482,-,22.354,11.502,10.852,-,-,-,-,57.2913459,0.027
ZTF18acnbgrj,AT2018iyl,13:32:13.69,+37:05:00.8,447.99,r,18.6406,-,>35.409,>9.98,25.429,-,-,-,-,76.83737967,0.027
ZTF18acnbpmd,AT2018jbv,13:10:45.56,+08:34:04.2,481.04,g,18.566,-,>91.572,>8,83.572,-,-,-,-,70.88489726,0.088
ZTF18acppddp,AT2018iut,11:13:09.68,+12:58:17.9,447.98,r,18.2037,-,22.197,9.816,12.381,-,-,-,-,63.01279653,0.05
ZTF18acpphpi,AT2018iul,11:56:02.99,+71:27:27.9,443.99,g,18.1394,-,20.932,5.758,15.174,-,-,-,-,45.00020765,0.044
ZTF18acqgvrt,AT2020zo,07:21:15.37,+55:53:24.1,875.72,r,17.4302,-,18.449,7.955,10.494,-,-,-,-,26.2501246,0.2
ZTF18acqijrr,AT2018jcy,10:43:53.91,+12:45:14.5,449.96,r,18.9393,-,>21.948,9.868,>12.08,-,-,-,-,56.89994979,0.067
ZTF18acrhegn,AT2018jbd,13:23:29.14,+27:35:54.0,505.97,g,18.6637,-,78.576,39.115,39.461,-,-,-,-,82.87024606,0.05
ZTF18acsownk,AT2018jol,10:35:36.24,+54:06:02.8,464.99,g,18.9472,-,26.826,9.201,17.625,-,-,-,-,53.34252918,0.028
ZTF18acsoymy,AT2018jom,11:12:54.40,+37:44:25.7,472.04,r,18.9536,-,>47.458,24.548,>22.91,-,-,-,-,66.7584712,0.041
ZTF18acspdha,AT2018jon,07:29:50.77,+52:09:19.2,464.80,r,18.8191,-,26.657,9.695,16.962,-,-,-,-,26.81824705,0.129
ZTF18acsyejb,AT2018jks,02:22:04.97,+05:05:29.4,462.78,r,18.7786,-,>32.292,22.302,>9.99,-,-,-,-,-51.03881378,0.099
ZTF18acsyeum,AT2018jkt,02:11:04.58,+03:49:20.7,466.75,r,18.7025,-,37.019,24.196,12.823,-,-,-,-,-53.5653357,0.11
ZTF18acueupj,AT2019qw,15:35:07.67,+21:32:52.6,505.97,g,18.5788,-,30.879,14.077,16.802,-,-,-,-,52.46179891,0.139
ZTF18acurkzx,AT2018jtg,11:32:28.59,+26:22:07.1,465.02,g,18.7624,-,31.445,9.45,21.995,-,-,-,-,72.37374322,0.055
ZTF18acuvrph,AT2018jry,02:28:18.74,-02:23:06.0,472.76,r,18.9981,-,28.979,9.931,19.048,-,-,-,-,-56.09152129,0.073
ZTF18acvdstg,AT2018kln,08:14:20.78,+22:52:44.8,474.84,r,18.7786,-,26.135,10.026,16.109,-,-,-,-,27.87117524,0.108
ZTF18acvduiz,AT2018kdy,07:36:15.43,+30:05:46.7,471.78,r,18.7453,-,19.073,4.628,14.445,-,-,-,-,22.22728238,0.167
ZTF18acvwcky,AT2018kbb,13:43:16.26,+45:39:26.4,481.05,r,18.2794,-,20.799,13.355,7.444,-,-,-,-,68.79966086,0.05
ZTF18acwwchq,AT2018kli,05:48:42.73,+48:13:30.7,474.82,r,18.969,-,19.421,6.875,12.546,-,-,-,-,10.35826233,0.814
ZTF18acyyefr,AT2018kyu,13:06:36.28,+27:52:25.9,487.02,r,18.3089,-,26.772,11.12,15.652,-,-,-,-,86.55528307,0.031
ZTF18aczawcw,AT2018kip,01:41:01.98,-04:07:05.7,472.62,r,18.1621,-,18.066,5.812,12.254,-,-,-,-,-64.12299302,0.074
ZTF18aczczav,AT2018kxl,08:08:05.78,+27:28:15.4,481.93,r,18.9909,-,18.874,7.616,11.258,-,-,-,-,28.00647239,0.09
ZTF18aczeral,AT2018kmw,14:38:39.18,+43:48:12.8,481.03,g,18.5896,-,>39.662,>18.03,21.632,-,-,-,-,62.73958516,0.058
ZTF18aczeraq,AT2018kmy,15:52:09.28,+46:36:33.7,488.08,r,18.0887,-,>34.153,>15.04,19.113,-,-,-,-,49.66975541,0.043
ZTF18adaimlf,AT2018kwt,03:03:17.39,+18:31:55.1,486.64,r,18.7368,-,32.01,13.792,18.218,-,-,-,-,-34.26846358,0.496
ZTF18adainmx,AT2018kwu,03:05:13.40,+23:28:20.3,486.62,r,18.7346,-,16.942,9.885,7.057,-,-,-,-,-29.96937217,0.416
ZTF18adaknbe,AT2018koe,10:10:57.79,+30:59:04.2,482.99,g,18.8847,-,>35.101,8.071,>27.03,-,-,-,-,54.90630643,0.062
ZTF18adakwzc,AT2018kzq,13:24:10.36,+16:40:05.8,492.00,g,18.364,-,25.897,11.979,13.918,-,-,-,-,77.08412056,0.071
ZTF18adaymez,AT2018lal,07:38:41.93,+19:16:43.8,494.81,r,17.8749,-,25.349,13.846,11.503,-,-,-,-,18.81804731,0.136
ZTF18adaysnz,AT2018ldt,08:59:59.81,+51:44:42.2,491.76,r,18.5562,-,25.851,9.609,16.242,-,-,-,-,40.63344658,0.067
ZTF18adaysyr,AT2018led,07:46:49.97,+73:16:37.3,487.93,r,18.3327,-,21.415,10.991,10.424,-,-,-,-,29.86762401,0.08
ZTF18adbadid,AT2018ljz,16:30:09.62,+54:38:29.2,488.01,g,18.6424,-,>15.181,10.141,>5.04,-,-,-,-,42.03873145,0.026
ZTF18adbcjkb,AT2018lij,02:42:17.81,-13:07:47.2,487.62,r,18.7614,-,>37.767,14.777,>22.99,-,-,-,-,-60.55956324,0.089
ZTF18adbcjlv,AT2019bi,02:45:58.49,-10:17:35.8,487.65,g,18.5423,-,32.323,13.914,18.409,-,-,-,-,-58.21670994,0.065
ZTF18adbcknf,AT2019ab,03:23:40.44,-11:35:55.7,487.67,g,18.7916,-,>33.43,14.38,>19.05,-,-,-,-,-51.08922631,0.211
ZTF18adbclta,AT2018lda,01:57:03.53,+13:01:21.7,490.66,r,18.999,-,26.643,13.985,12.658,-,-,-,-,-46.80648182,0.149
ZTF18adbdhwh,AT2018lgz,01:33:48.72,+43:13:55.6,503.62,r,18.8921,-,>41.84,21.8,>20.04,-,-,-,-,-18.96854537,0.209
ZTF18adbdjij,AT2018ldb,01:33:53.15,+21:09:40.7,493.62,r,18.2361,-,20.876,9.515,11.361,-,-,-,-,-40.62984519,0.175
ZTF18adbhlet,AT2018lic,13:10:57.66,+37:43:40.7,495.01,g,18.4776,-,24.669,10.634,14.035,-,-,-,-,78.63282829,0.042
ZTF18adbhsjc,AT2018lav,09:37:00.29,-13:01:37.3,487.92,r,18.3389,-,33.523,6.637,26.886,-,-,-,-,28.0690201,0.104
ZTF18adbiftk,AT2018lka,13:44:32.17,+21:05:06.3,495.03,g,17.3703,-,27.119,7.325,19.794,-,-,-,-,76.47189593,0.079
ZTF18adbmhzp,AT2019bo,01:27:22.93,-02:25:56.9,491.66,g,18.7357,-,>26.112,7.122,>18.99,-,-,-,-,-63.84762934,0.148
ZTF18adccxqw,AT2019P,01:40:09.12,+04:05:59.8,493.67,g,18.8893,-,24.15,11.042,13.108,-,-,-,-,-56.62943122,0.085
ZTF18adkmwwh,AT2019mzp,16:07:06.41,+15:51:34.5,2084.88,r,18.2074,-,25.39,9.221,16.169,-,-,-,-,43.40907002,0.103
ZTF19aaadegs,AT2019gp,06:37:06.24,+41:48:14.5,495.72,g,18.4983,-,27.095,8.309,18.786,-,-,-,-,15.21772435,0.397
ZTF19aaadxmz,AT2019bh,08:53:44.47,+48:10:38.4,503.97,r,18.2035,-,33.826,16.692,17.134,-,-,-,-,39.91797139,0.07
ZTF19aaaffso,AT2019jz,13:05:33.84,+29:57:14.4,502.99,g,18.885,-,21.947,12.853,9.094,-,-,-,-,85.80419635,0.034
ZTF19aaahuvq,AT2019ku,03:30:11.22,+43:00:05.3,503.64,r,18.047,-,23.873,12.865,11.008,-,-,-,-,-10.94628346,0.643
ZTF19aaaibty,AT2019iw,04:16:09.68,-07:45:20.4,503.71,g,18.086,-,23.49,12.336,11.154,-,-,-,-,-37.90347136,0.211
ZTF19aaaicak,AT2018liu,04:04:47.22,-04:14:39.7,490.67,r,18.9584,-,29.406,7.49,21.916,-,-,-,-,-38.58969421,0.308
ZTF19aaaiztl,AT2024byc,05:38:03.38,+03:38:40.4,490.69,r,18.5162,-,>17.513,12.463,>5.05,-,-,-,-,-14.51101224,0.931
ZTF19aaaokub,AT2019ja,07:46:42.61,+06:16:13.1,505.73,g,18.3347,-,>35.681,14.691,>20.99,-,-,-,-,15.13511964,0.09
ZTF19aaapfde,AT2019kb,14:50:33.37,+67:50:01.2,503.04,r,18.8982,-,>22.669,13.659,>9.01,-,-,-,-,45.53931253,0.054
ZTF19aaapjrf,AT2019cv,15:06:14.20,+32:40:54.1,492.01,g,18.0557,-,20.12,6.703,13.417,-,-,-,-,60.39224683,0.053
ZTF19aaapkgk,AT2019kd,15:09:11.75,+54:11:49.3,506.05,r,17.7284,-,38.492,20.79,17.702,-,-,-,-,53.054407,0.037
ZTF19aaaplhu,AT2019qz,15:20:47.94,+09:19:20.7,502.97,g,18.3331,-,24.575,13.182,11.393,-,-,-,-,50.54307812,0.118
ZTF19aabhdko,AT2019na,03:07:57.60,+17:46:47.8,510.72,r,18.6161,-,27.245,17.054,10.191,-,-,-,-,-34.21284122,0.406
