mjd,magpsf,sigmapsf,fid,objId,magzpsci,isdiffpos
58676.172,17.042,0.018,1,SN2019lbi,27.5,t
58676.192,17.116,0.018,2,SN2019lbi,27.5,t
58679.187,17.100,0.023,1,SN2019lbi,27.5,t
58679.191,17.156,0.023,2,SN2019lbi,27.5,t
58797.545,18.021,0.042,2,SN2019lbi,27.5,t
58799.545,18.145,0.066,2,SN2019lbi,27.5,t
58801.545,18.067,0.247,2,SN2019lbi,27.5,t
58803.549,18.310,0.055,2,SN2019lbi,27.5,t
58805.537,19.453,0.161,1,SN2019lbi,27.5,t
58805.550,18.516,0.117,2,SN2019lbi,27.5,t
58828.568,18.732,0.069,2,SN2019lbi,27.5,t
58850.520,18.987,0.061,2,SN2019lbi,27.5,t
58850.543,20.297,0.149,1,SN2019lbi,27.5,t
58853.504,20.169,0.096,1,SN2019lbi,27.5,t
58856.543,20.532,0.159,1,SN2019lbi,27.5,t
58860.397,19.192,0.157,2,SN2019lbi,27.5,t
58867.610,20.424,0.107,1,SN2019lbi,27.5,t
58872.439,20.405,0.151,1,SN2019lbi,27.5,t
58872.545,19.144,0.046,2,SN2019lbi,27.5,t
58875.502,19.193,0.058,2,SN2019lbi,27.5,t
58877.580,20.500,0.091,1,SN2019lbi,27.5,t
58877.590,19.127,0.033,2,SN2019lbi,27.5,t
58881.459,20.721,0.179,1,SN2019lbi,27.5,t
58884.439,20.518,0.257,1,SN2019lbi,27.5,t
58884.518,19.300,0.086,2,SN2019lbi,27.5,t
58887.482,19.188,0.083,2,SN2019lbi,27.5,t
58894.373,20.715,0.261,1,SN2019lbi,27.5,t
58894.463,19.390,0.068,2,SN2019lbi,27.5,t
58898.358,19.340,0.050,2,SN2019lbi,27.5,t
58898.418,21.084,0.199,1,SN2019lbi,27.5,t
58901.397,19.334,0.051,2,SN2019lbi,27.5,t
58904.474,19.326,0.074,2,SN2019lbi,27.5,t
58908.454,19.393,0.055,2,SN2019lbi,27.5,t
58911.448,19.565,0.100,2,SN2019lbi,27.5,t
58914.405,19.361,0.092,2,SN2019lbi,27.5,t
58931.450,21.018,0.143,1,SN2019lbi,27.5,t
58931.450,19.524,0.051,2,SN2019lbi,27.5,t
58936.312,21.107,0.245,1,SN2019lbi,27.5,t
58936.399,19.573,0.066,2,SN2019lbi,27.5,t
58941.420,20.708,0.164,1,SN2019lbi,27.5,t
58943.360,19.583,0.095,2,SN2019lbi,27.5,t
58949.360,19.569,0.103,2,SN2019lbi,27.5,t
58951.400,20.061,0.142,2,SN2019lbi,27.5,t
58954.254,20.021,0.091,2,SN2019lbi,27.5,t
58954.296,20.965,0.222,1,SN2019lbi,27.5,t
58955.270,19.999,0.110,2,SN2019lbi,27.5,t
58956.440,20.971,0.149,1,SN2019lbi,27.5,t
58959.340,21.600,0.177,1,SN2019lbi,27.5,t
58959.350,19.943,0.058,2,SN2019lbi,27.5,t
58962.232,21.215,0.252,1,SN2019lbi,27.5,t
58962.278,20.068,0.103,2,SN2019lbi,27.5,t
58964.430,20.075,0.130,2,SN2019lbi,27.5,t
58965.291,19.987,0.089,2,SN2019lbi,27.5,t
58967.490,21.112,0.249,1,SN2019lbi,27.5,t
58967.490,19.925,0.066,2,SN2019lbi,27.5,t
58968.201,19.933,0.090,2,SN2019lbi,27.5,t
58971.213,20.151,0.144,2,SN2019lbi,27.5,t
58978.255,20.394,0.244,2,SN2019lbi,27.5,t
58979.330,20.104,0.079,2,SN2019lbi,27.5,t
58990.270,21.341,0.155,1,SN2019lbi,27.5,t
58992.233,20.256,0.105,2,SN2019lbi,27.5,t
58994.270,20.241,0.083,2,SN2019lbi,27.5,t
58994.270,21.480,0.174,1,SN2019lbi,27.5,t
58995.247,20.199,0.142,2,SN2019lbi,27.5,t
58998.231,20.138,0.119,2,SN2019lbi,27.5,t
58998.270,21.150,0.165,1,SN2019lbi,27.5,t
59004.310,20.272,0.195,2,SN2019lbi,27.5,t
59008.290,20.440,0.099,2,SN2019lbi,27.5,t
59011.290,20.625,0.173,2,SN2019lbi,27.5,t
59017.235,20.629,0.159,2,SN2019lbi,27.5,t
59020.236,20.764,0.201,2,SN2019lbi,27.5,t
59022.270,20.649,0.081,2,SN2019lbi,27.5,t
59032.280,20.680,0.185,2,SN2019lbi,27.5,t
59039.300,20.641,0.164,2,SN2019lbi,27.5,t
59041.280,20.584,0.152,2,SN2019lbi,27.5,t
59048.280,20.757,0.130,2,SN2019lbi,27.5,t
58767.529,18.527,0.095,2,SN2019szh,27.5,t
58776.520,18.316,0.051,2,SN2019szh,27.5,t
58779.518,18.803,0.063,1,SN2019szh,27.5,t
58785.521,18.810,0.057,2,SN2019szh,27.5,t
58789.504,19.857,0.132,1,SN2019szh,27.5,t
58792.542,19.959,0.120,1,SN2019szh,27.5,t
58799.482,19.005,0.101,2,SN2019szh,27.5,t
58804.543,19.604,0.167,2,SN2019szh,27.5,t
58812.548,19.942,0.149,2,SN2019szh,27.5,t
58814.620,20.918,0.148,1,SN2019szh,27.5,t
58817.630,20.117,0.135,2,SN2019szh,27.5,t
58820.620,21.471,0.201,1,SN2019szh,27.5,t
58829.580,20.629,0.221,2,SN2019szh,27.5,t
58841.560,20.851,0.132,2,SN2019szh,27.5,t
58841.560,21.815,0.261,1,SN2019szh,27.5,t
